playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
braddza01,2011,1,MIL,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bradeda01,2011,1,OAK,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bradlmi01,2011,1,SEA,AL,28,101,12,22,6,1,2,13,4,0,13,31,1,1,0,0,1
brantmi02,2011,1,CLE,AL,114,451,63,120,24,4,7,46,13,5,34,76,2,3,3,5,11
branyru01,2011,1,ARI,NL,31,62,4,13,5,0,1,2,0,0,7,20,0,0,0,0,0
branyru01,2011,2,LAA,AL,37,65,7,12,2,0,4,12,2,0,11,21,0,0,0,1,2
braunry02,2011,1,MIL,NL,150,563,109,187,38,6,33,111,33,6,58,93,2,5,0,3,9
braybi01,2011,1,CIN,NL,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brazoyh01,2011,1,ARI,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
breslcr01,2011,1,OAK,AL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brignre01,2011,1,TBA,AL,92,249,18,48,4,0,1,15,3,1,10,63,1,1,4,0,2
brittza01,2011,1,BAL,AL,28,8,3,5,1,0,1,2,0,0,0,1,0,0,0,0,0
brodebr01,2011,1,WAS,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brothre01,2011,1,COL,NL,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brownan02,2011,1,SLN,NL,11,22,1,4,1,0,0,3,0,0,0,8,0,0,0,0,1
brownco01,2011,1,WAS,NL,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
browndo01,2011,1,PHI,NL,56,184,28,45,10,1,5,19,3,1,25,35,1,0,0,1,2
browndu01,2011,1,PIT,NL,11,28,2,3,0,0,0,0,1,0,1,10,0,0,1,0,0
broxtjo01,2011,1,LAN,NL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bruceja01,2011,1,CIN,NL,157,585,84,150,27,2,32,97,8,7,71,158,14,5,1,2,8
brunebr01,2011,1,CHA,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buchhcl01,2011,1,BOS,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buchhta01,2011,1,NYN,NL,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buckjo01,2011,1,FLO,NL,140,466,41,106,15,1,16,57,0,1,54,115,7,7,2,1,11
bucktr01,2011,1,CLE,AL,50,149,18,34,11,0,2,18,1,1,8,30,0,2,0,1,3
buehrma01,2011,1,CHA,AL,31,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
buentja01,2011,1,FLO,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
buentja01,2011,2,TBA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bulgeja01,2011,1,LAA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bumgama01,2011,1,SFN,NL,35,59,5,7,4,0,0,3,0,0,5,18,0,0,11,0,0
burneaj01,2011,1,NYA,AL,34,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
burneal01,2011,1,MIN,AL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burnese01,2011,1,WAS,NL,69,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
burrebr01,2011,1,PIT,NL,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
burrepa01,2011,1,SFN,NL,92,183,17,42,9,1,7,21,0,0,33,67,0,2,0,1,2
burriem01,2011,1,SFN,NL,59,137,14,28,1,0,0,4,11,3,6,17,0,3,6,0,2
burrose01,2011,1,ARI,NL,78,110,8,30,4,0,1,8,1,0,3,15,0,0,1,1,4
burtoja01,2011,1,CIN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bushda01,2011,1,TEX,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buterdr01,2011,1,MIN,AL,93,234,19,39,9,1,2,23,0,0,11,42,0,2,6,1,7
butlebi03,2011,1,KCA,AL,159,597,74,174,44,0,19,95,2,1,66,95,15,3,0,7,16
byrdati01,2011,1,NYN,NL,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
byrdma01,2011,1,CHN,NL,119,446,51,123,22,2,9,35,3,2,25,78,2,8,1,2,13
